start_utc,end_utc,start_edt,end_edt,duration_min
2023-09-16T12:16:33Z,2023-09-16T13:42:11Z,2023-09-16T08:16:33 EDT,2023-09-16T09:42:11 EDT,85.6
2023-09-20T16:13:59Z,2023-09-20T17:18:47Z,2023-09-20T12:13:59 EDT,2023-09-20T13:18:47 EDT,64.8
2023-09-26T21:44:12Z,2023-09-26T22:59:31Z,2023-09-26T17:44:12 EDT,2023-09-26T18:59:31 EDT,75.3
2023-09-28T16:42:41Z,2023-09-28T17:36:09Z,2023-09-28T12:42:41 EDT,2023-09-28T13:36:09 EDT,53.5
2023-10-07T18:28:07Z,2023-10-07T19:13:21Z,2023-10-07T14:28:07 EDT,2023-10-07T15:13:21 EDT,45.2
2023-10-11T11:21:01Z,2023-10-11T12:28:36Z,2023-10-11T07:21:01 EDT,2023-10-11T08:28:36 EDT,67.6
2023-10-14T13:37:14Z,2023-10-14T14:07:18Z,2023-10-14T09:37:14 EDT,2023-10-14T10:07:18 EDT,30.1
2023-10-29T21:40:03Z,2023-10-29T22:24:07Z,2023-10-29T17:40:03 EDT,2023-10-29T18:24:07 EDT,44.1
2023-11-02T10:55:21Z,2023-11-02T11:29:53Z,2023-11-02T06:55:21 EDT,2023-11-02T07:29:53 EDT,34.5
2023-11-03T13:17:42Z,2023-11-03T14:18:55Z,2023-11-03T09:17:42 EDT,2023-11-03T10:18:55 EDT,61.2
2023-11-06T18:08:46Z,2023-11-06T19:38:42Z,2023-11-06T14:08:46 EDT,2023-11-06T15:38:42 EDT,89.9
2023-11-10T19:36:30Z,2023-11-10T20:22:20Z,2023-11-10T15:36:30 EDT,2023-11-10T16:22:20 EDT,45.8
2023-11-11T17:51:26Z,2023-11-11T18:33:32Z,2023-11-11T13:51:26 EDT,2023-11-11T14:33:32 EDT,42.1
2023-11-20T11:42:27Z,2023-11-20T12:34:54Z,2023-11-20T07:42:27 EDT,2023-11-20T08:34:54 EDT,52.5
2023-12-07T16:29:55Z,2023-12-07T17:45:58Z,2023-12-07T12:29:55 EDT,2023-12-07T13:45:58 EDT,76.0
2023-12-10T20:41:41Z,2023-12-10T21:17:44Z,2023-12-10T16:41:41 EDT,2023-12-10T17:17:44 EDT,36.0
2023-12-12T16:46:21Z,2023-12-12T18:08:16Z,2023-12-12T12:46:21 EDT,2023-12-12T14:08:16 EDT,81.9
2023-12-15T11:15:12Z,2023-12-15T11:57:46Z,2023-12-15T07:15:12 EDT,2023-12-15T07:57:46 EDT,42.6
2023-12-19T17:08:27Z,2023-12-19T17:49:44Z,2023-12-19T13:08:27 EDT,2023-12-19T13:49:44 EDT,41.3
2023-12-23T17:15:55Z,2023-12-23T18:44:59Z,2023-12-23T13:15:55 EDT,2023-12-23T14:44:59 EDT,89.1
2023-12-25T17:51:55Z,2023-12-25T19:16:30Z,2023-12-25T13:51:55 EDT,2023-12-25T15:16:30 EDT,84.6
2024-01-06T11:03:41Z,2024-01-06T12:08:34Z,2024-01-06T07:03:41 EDT,2024-01-06T08:08:34 EDT,64.9
2024-01-26T10:05:59Z,2024-01-26T11:24:53Z,2024-01-26T06:05:59 EDT,2024-01-26T07:24:53 EDT,78.9
2024-01-29T13:10:26Z,2024-01-29T14:11:56Z,2024-01-29T09:10:26 EDT,2024-01-29T10:11:56 EDT,61.5
2024-01-30T13:55:25Z,2024-01-30T15:22:28Z,2024-01-30T09:55:25 EDT,2024-01-30T11:22:28 EDT,87.0
2024-02-06T12:24:00Z,2024-02-06T13:18:16Z,2024-02-06T08:24:00 EDT,2024-02-06T09:18:16 EDT,54.3
2024-02-07T22:50:29Z,2024-02-07T23:00:00Z,2024-02-07T18:50:29 EDT,2024-02-07T19:00:00 EDT,9.5
2024-02-09T21:46:50Z,2024-02-09T22:52:32Z,2024-02-09T17:46:50 EDT,2024-02-09T18:52:32 EDT,65.7
2024-02-10T21:31:09Z,2024-02-10T22:13:27Z,2024-02-10T17:31:09 EDT,2024-02-10T18:13:27 EDT,42.3
2024-02-20T13:03:37Z,2024-02-20T14:21:11Z,2024-02-20T09:03:37 EDT,2024-02-20T10:21:11 EDT,77.6
2024-03-07T10:47:20Z,2024-03-07T11:20:23Z,2024-03-07T06:47:20 EDT,2024-03-07T07:20:23 EDT,33.0
2024-03-12T19:30:32Z,2024-03-12T20:59:26Z,2024-03-12T15:30:32 EDT,2024-03-12T16:59:26 EDT,88.9
2024-03-17T18:10:03Z,2024-03-17T19:12:08Z,2024-03-17T14:10:03 EDT,2024-03-17T15:12:08 EDT,62.1
2024-03-21T12:04:38Z,2024-03-21T12:39:21Z,2024-03-21T08:04:38 EDT,2024-03-21T08:39:21 EDT,34.7
2024-03-23T13:25:07Z,2024-03-23T14:56:03Z,2024-03-23T09:25:07 EDT,2024-03-23T10:56:03 EDT,90.9
2024-03-27T19:15:37Z,2024-03-27T20:23:39Z,2024-03-27T15:15:37 EDT,2024-03-27T16:23:39 EDT,68.0
2024-04-03T19:05:26Z,2024-04-03T20:18:03Z,2024-04-03T15:05:26 EDT,2024-04-03T16:18:03 EDT,72.6
2024-04-08T19:33:20Z,2024-04-08T21:02:36Z,2024-04-08T15:33:20 EDT,2024-04-08T17:02:36 EDT,89.3
2024-04-09T13:42:45Z,2024-04-09T14:33:00Z,2024-04-09T09:42:45 EDT,2024-04-09T10:33:00 EDT,50.2
2024-04-13T14:25:08Z,2024-04-13T15:37:49Z,2024-04-13T10:25:08 EDT,2024-04-13T11:37:49 EDT,72.7
2024-04-14T14:29:20Z,2024-04-14T15:59:08Z,2024-04-14T10:29:20 EDT,2024-04-14T11:59:08 EDT,89.8
2024-04-15T11:00:29Z,2024-04-15T12:10:05Z,2024-04-15T07:00:29 EDT,2024-04-15T08:10:05 EDT,69.6
2024-04-17T11:04:34Z,2024-04-17T11:48:06Z,2024-04-17T07:04:34 EDT,2024-04-17T07:48:06 EDT,43.5
2024-04-24T14:08:59Z,2024-04-24T15:01:55Z,2024-04-24T10:08:59 EDT,2024-04-24T11:01:55 EDT,52.9
2024-04-25T11:56:15Z,2024-04-25T12:49:33Z,2024-04-25T07:56:15 EDT,2024-04-25T08:49:33 EDT,53.3
2024-05-02T12:28:53Z,2024-05-02T13:33:38Z,2024-05-02T08:28:53 EDT,2024-05-02T09:33:38 EDT,64.8
2024-05-08T14:39:51Z,2024-05-08T15:51:24Z,2024-05-08T10:39:51 EDT,2024-05-08T11:51:24 EDT,71.5
2024-05-24T10:42:52Z,2024-05-24T11:48:11Z,2024-05-24T06:42:52 EDT,2024-05-24T07:48:11 EDT,65.3
2024-05-28T20:06:56Z,2024-05-28T20:45:12Z,2024-05-28T16:06:56 EDT,2024-05-28T16:45:12 EDT,38.3
2024-05-30T11:56:06Z,2024-05-30T13:13:41Z,2024-05-30T07:56:06 EDT,2024-05-30T09:13:41 EDT,77.6
2024-06-28T12:17:18Z,2024-06-28T13:25:31Z,2024-06-28T08:17:18 EDT,2024-06-28T09:25:31 EDT,68.2
2024-07-01T21:21:13Z,2024-07-01T22:34:53Z,2024-07-01T17:21:13 EDT,2024-07-01T18:34:53 EDT,73.7
2024-07-03T14:32:31Z,2024-07-03T15:19:28Z,2024-07-03T10:32:31 EDT,2024-07-03T11:19:28 EDT,47.0
2024-07-05T10:05:40Z,2024-07-05T11:03:33Z,2024-07-05T06:05:40 EDT,2024-07-05T07:03:33 EDT,57.9
2024-07-06T14:02:00Z,2024-07-06T14:53:49Z,2024-07-06T10:02:00 EDT,2024-07-06T10:53:49 EDT,51.8
2024-07-11T12:40:16Z,2024-07-11T13:21:03Z,2024-07-11T08:40:16 EDT,2024-07-11T09:21:03 EDT,40.8
2024-07-15T17:35:45Z,2024-07-15T18:33:20Z,2024-07-15T13:35:45 EDT,2024-07-15T14:33:20 EDT,57.6
2024-07-17T10:07:04Z,2024-07-17T11:38:00Z,2024-07-17T06:07:04 EDT,2024-07-17T07:38:00 EDT,90.9
2024-07-27T21:57:09Z,2024-07-27T23:00:00Z,2024-07-27T17:57:09 EDT,2024-07-27T19:00:00 EDT,62.9
2024-08-02T15:37:35Z,2024-08-02T16:17:02Z,2024-08-02T11:37:35 EDT,2024-08-02T12:17:02 EDT,39.5
2024-08-13T12:02:19Z,2024-08-13T12:56:16Z,2024-08-13T08:02:19 EDT,2024-08-13T08:56:16 EDT,54.0
2024-08-15T22:55:02Z,2024-08-15T23:00:00Z,2024-08-15T18:55:02 EDT,2024-08-15T19:00:00 EDT,5.0
2024-08-19T13:43:15Z,2024-08-19T14:55:21Z,2024-08-19T09:43:15 EDT,2024-08-19T10:55:21 EDT,72.1
2024-08-22T15:49:35Z,2024-08-22T17:16:30Z,2024-08-22T11:49:35 EDT,2024-08-22T13:16:30 EDT,86.9
2024-08-25T16:39:47Z,2024-08-25T17:19:46Z,2024-08-25T12:39:47 EDT,2024-08-25T13:19:46 EDT,40.0
2024-09-10T13:55:10Z,2024-09-10T15:17:01Z,2024-09-10T09:55:10 EDT,2024-09-10T11:17:01 EDT,81.8
2024-09-17T12:56:26Z,2024-09-17T13:27:37Z,2024-09-17T08:56:26 EDT,2024-09-17T09:27:37 EDT,31.2
2024-09-26T21:59:21Z,2024-09-26T23:00:00Z,2024-09-26T17:59:21 EDT,2024-09-26T19:00:00 EDT,60.6
2024-09-29T16:51:42Z,2024-09-29T18:17:29Z,2024-09-29T12:51:42 EDT,2024-09-29T14:17:29 EDT,85.8
2024-10-10T22:15:17Z,2024-10-10T22:56:07Z,2024-10-10T18:15:17 EDT,2024-10-10T18:56:07 EDT,40.8
2024-10-22T21:06:24Z,2024-10-22T22:31:26Z,2024-10-22T17:06:24 EDT,2024-10-22T18:31:26 EDT,85.0
2024-10-24T17:14:12Z,2024-10-24T18:37:10Z,2024-10-24T13:14:12 EDT,2024-10-24T14:37:10 EDT,83.0
2024-10-25T17:22:19Z,2024-10-25T18:45:09Z,2024-10-25T13:22:19 EDT,2024-10-25T14:45:09 EDT,82.8
